Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
29.5,227.5,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
29,227,0.001,12,0.15,0.1,2,0.0064,0.1,0.01,0.4
28.5,225.3333333,0.0033,14,0.15,1,2,0.0064,0.1,0.01,0.4
28,223.6666667,0.0033,14,0.15,1,2,0.0064,0.1,0.01,0.4
27.5,222,0.0033,14,0.15,1,2,0.0064,0.1,0.01,0.4
27,221,0.0033,25,0.5,1,2,0.0064,0.1,0.01,0.5
26.5,220.2,0.0016,14,0.15,0.1,2,0.0064,0.1,0.01,0.45
26,219.4,0.0016,14,0.15,0.1,2,0.0064,0.1,0.01,0.45
25.5,218.6,0.0016,14,0.15,0.1,2,0.0064,0.1,0.01,0.45
25,217.8,0.0016,18,0.15,1,2,0.0064,0.1,0.01,0.5
24.5,217,0.0016,18,0.15,1,2,0.0064,0.1,0.01,0.5
24,216,0.0016,18,0.15,1,2,0.0064,0.1,0.01,0.5
23.5,215.6666667,0.0007,18,0.15,1,2,0.0064,0.1,0.01,0.5
23,215.3333333,0.0007,11,0.15,0.035,2,0.0064,0.1,0.01,0.5
22.5,215,0.0007,11,0.15,0.035,2,0.0064,0.1,0.01,0.5
22,214,0.002,11,0.15,0.035,2,0.0064,0.1,0.01,0.5
21.5,213,0.002,6,0.15,0.03,2,0.0064,0.1,0.01,0.5
21,212,0.002,6,0.15,0.03,2,0.0064,0.1,0.01,0.5
20.5,211,0.002,6,0.15,0.03,2,0.0064,0.1,0.01,0.5
20,210.3333333,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
19.5,209.6666667,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
19,209,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
18.5,208.3333333,0.0013,4,0.15,0.04,2,0.0064,0.1,0.01,0.45
18,207.6666667,0.0013,15,0.15,0.04,2,0.0064,0.1,0.01,0.45
17.5,207,0.0013,15,0.15,0.04,2,0.0064,0.1,0.01,0.45
17,206,0.0013,15,0.5,1,2,0.0064,0.1,0.01,0.5
16.5,205.5,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
16,205,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
15.5,204.5,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
15,204,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
14.5,203,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
14,202,0.002,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
13.5,201.5,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
13,201,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
12.5,200,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
12,199,0.002,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
11.5,198.75,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
11,198.5,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
10.5,198.25,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
10,198,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
9.5,197,0.0005,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
9,196.5,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
8.5,196,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
8,195,0.001,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
7.5,194,0.002,5,0.15,0.05,2,0.0064,0.1,0.01,0.35
